Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,2,2,80,1,76.8968,319.3234,17.0998,3,1,2,3,1,0,0,17.0998,42.0871,3.1521,24.9873,10,
104,1,2,2,81,1,349.1405,287.5372,16.8308,2,3,1,2,1,0,0,287.5372,309.6525,1.9815,22.1153,10,
104,1,2,2,82,1,167.8456,109.3752,136.7429,2,1,3,1,0,1,0,167.8456,NaN,100000,999,0,
104,1,2,1,83,1,17.3376,75.7067,45.3407,2,1,3,2,1,0,0,75.7067,73.0575,2.2915,-2.6492,40,
104,1,2,1,84,1,346.2021,48.4245,319.1963,3,1,2,3,1,0,0,319.1963,304.3622,2.5717,-14.834,20,
104,1,2,1,85,1,316.9479,48.8765,285.8968,3,1,2,3,1,0,0,285.8968,254.0344,2.642,-31.8624,0,
104,1,2,1,86,1,169.6136,317.8213,17.1573,2,1,3,2,1,0,0,317.8213,307.8716,2.7819,-9.9497,30,
104,1,2,1,87,1,79.9629,257.2792,17.1302,2,1,3,2,1,0,0,257.2792,230.6371,2.3816,-26.6421,10,
104,1,2,1,88,1,348.4165,318.0428,46.0983,3,1,2,3,1,0,0,46.0983,53.1489,2.1314,7.0507,30,
104,1,2,1,89,1,169.7606,319.8793,345.1546,1,2,3,1,1,0,0,169.7606,174.8105,1.8614,5.0498,30,
104,1,2,1,90,1,196.2163,77.8571,319.9086,1,2,3,1,1,0,0,196.2163,207.4534,3.0821,11.237,30,
104,1,2,2,91,1,165.7083,257.1895,196.7519,3,1,2,3,1,0,0,196.7519,180.2065,3.4126,-16.5454,20,
104,1,2,1,92,1,77.8463,166.2439,346.5965,3,1,2,2,0,0,1,166.2439,152.7434,3.7324,-13.5004,20,
104,1,2,2,93,1,138.0017,285.425,169.6118,3,2,1,2,0,1,0,285.425,NaN,100000,999,0,
104,1,2,1,94,1,15.2493,78.4264,168.1014,3,1,2,2,0,0,1,78.4264,79.0158,2.2715,0.58941,40,
104,1,2,1,95,1,226.5739,288.6337,107.5789,1,3,2,1,1,0,0,226.5739,213.4417,1.7712,-13.1322,20,
104,1,2,1,96,1,105.3874,229.2531,45.7226,1,3,2,3,0,1,0,45.7226,55.1034,3.1121,9.3807,30,
104,1,2,2,97,1,256.898,166.5953,19.9303,2,3,1,1,0,0,1,256.898,237.1731,1.5812,-19.7249,20,
104,1,2,2,98,1,289.4674,317.3291,167.8043,2,1,3,2,1,0,0,317.3291,313.6718,2.4317,-3.6573,30,
104,1,2,1,99,1,46.0259,137.1957,345.1363,2,1,3,3,0,0,1,345.1363,297.6028,1.8612,-47.5335,-5,
104,1,2,1,100,1,137.2818,345.2392,78.6913,2,3,1,2,1,0,0,345.2392,319.355,2.1615,-25.8842,10,
104,1,2,1,101,1,17.9852,347.153,168.6536,1,2,3,2,0,1,0,347.153,18.9109,2.3617,31.7579,0,
104,1,2,2,102,1,46.2094,138.7992,16.4546,2,3,1,2,1,0,0,138.7992,131.8327,2.1414,-6.9665,30,
104,1,2,2,103,1,47.4481,196.3491,19.9487,2,1,3,1,0,1,0,47.4481,NaN,100000,999,0,
104,1,2,1,104,1,79.478,197.4125,17.2137,1,2,3,1,1,0,0,79.478,55.854,3.2021,-23.624,10,
104,1,2,2,105,1,228.6452,46.0131,106.0814,3,2,1,3,1,0,0,106.0814,134.1341,2.4116,28.0527,10,
104,1,2,1,106,1,198.0216,317.5822,285.0375,3,1,2,3,1,0,0,285.0375,279.0978,2.4016,-5.9398,30,
104,1,2,2,107,1,106.7555,165.2715,258.5435,3,2,1,2,0,1,0,165.2715,NaN,100000,999,0,
104,1,2,1,108,1,287.5553,75.1388,49.9519,2,3,1,2,1,0,0,75.1388,77.8212,1.861,2.6825,40,
104,1,2,2,109,1,255.0301,199.0096,77.487,2,3,1,2,1,0,0,199.0096,226.6824,2.9019,27.6728,10,
104,1,2,1,110,1,135.1732,347.2556,15.069,1,2,3,1,1,0,0,135.1732,162.3283,1.8112,27.1552,10,
104,1,2,1,111,1,79.7346,257.5505,108.9594,1,2,3,2,0,1,0,257.5505,214.5313,2.6919,-43.0192,-5,
104,1,2,2,112,1,286.7105,229.0856,257.6584,3,2,1,3,1,0,0,257.6584,282.9668,1.501,25.3084,10,
104,1,2,2,113,1,76.4914,257.4826,349.4495,3,1,2,3,1,0,0,349.4495,19.4389,1.6511,29.9894,10,
104,1,2,2,114,1,166.0175,289.0689,346.9672,1,3,2,1,1,0,0,166.0175,165.1207,1.9813,-0.89681,40,
104,1,2,2,115,1,16.4322,288.4356,345.7057,2,1,3,2,1,0,0,288.4356,316.9712,2.1414,28.5355,10,
104,1,2,1,116,1,258.9694,197.3455,166.5476,2,1,3,2,1,0,0,197.3455,210.8501,2.0113,13.5046,20,
104,1,2,2,117,1,287.7349,347.0148,225.5352,1,2,3,2,0,1,0,347.0148,NaN,100000,999,0,
104,1,2,2,118,1,316.6124,259.8807,106.3911,2,1,3,2,1,0,0,259.8807,240.0415,3.2622,-19.8392,20,
